date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,gate_pred,category,gate_weight_g,champ_p_away,champ_p_draw,champ_p_home,gate_p_away,gate_p_draw,gate_p_home,elo_home,elo_away,abs_elo_diff,home_rest_days,away_rest_days,home_form5_pts,away_form5_pts,avg_volatility,is_regime_1,is_regime_2,is_regime_3,is_regime_4,is_regime_5,is_regime_6,is_regime_7,is_regime_8,is_regime_9
2024-03-22,São Tomé and Príncipe,South Sudan,1,1,African Cup of Nations qualification,Berkane,Morocco,True,1,1,2,2,D_Both_Wrong,0.25,0.19026331442451316,0.17609800112893387,0.6336386844465529,0.19158581976836547,0.18286332172629344,0.6255508585053411,1203.717675950161,1292.944155330272,89.22647938011096,60.0,60.0,0.0,0.8,30.0,False,True,False,False,True,True,False,False,True
2024-03-22,Liechtenstein,Faroe Islands,0,4,Friendly,San Pedro Alcántara,Spain,True,2,2,2,2,A_Both_Correct,0.25,0.07521526227068115,0.2085494761683187,0.7162352615610001,0.09405206044656186,0.21326191489468033,0.6926860246587578,1074.3794819160366,1314.6267697980445,240.24728788200787,60.0,60.0,0.0,0.2,28.469879358069683,False,False,False,False,True,True,False,False,True
2024-03-22,Norway,Czech Republic,1,2,Friendly,Oslo,Norway,False,2,2,0,0,D_Both_Wrong,0.25,0.39779502559490143,0.3074592368789582,0.29474573752614036,0.4023841559731197,0.30535042071294827,0.29226542331393196,1776.9918835110363,1790.90522984035,13.913346329313754,60.0,60.0,2.0,1.6,22.70591508899214,False,False,False,False,False,False,False,False,True
2024-03-22,Hungary,Turkey,1,0,Friendly,Budapest,Hungary,False,0,0,0,0,A_Both_Correct,0.25,0.4805973188795282,0.2858750286466492,0.23352765247382265,0.48033335995046583,0.2872280954642675,0.2324385445852668,1789.4609056681516,1795.5235373968194,6.062631728667839,60.0,60.0,1.8,2.0,26.693758105281184,False,False,False,False,False,False,False,False,True
2024-03-22,Armenia,Kosovo,0,1,Friendly,Yerevan,Armenia,False,2,2,0,0,D_Both_Wrong,0.25,0.42471933734490164,0.2895063257985535,0.28577433685654485,0.4238583020350797,0.2900156053442578,0.2861260926206625,1513.1139050540244,1557.4439769890819,44.330071935057504,60.0,60.0,0.2,1.4,14.472683434939064,False,False,False,False,True,False,True,False,True
2024-03-22,Burkina Faso,Libya,1,2,Friendly,Casablanca,Morocco,True,2,2,0,0,D_Both_Wrong,0.25,0.5253652101757978,0.26477551681469835,0.20985927300950377,0.5466316345463761,0.2581121938924428,0.19525617156118127,1637.7750268689351,1535.8253539865004,101.9496728824347,52.0,60.0,1.4,2.6,28.084730578209467,True,True,False,True,False,True,False,False,True
2024-03-22,Comoros,Uganda,4,0,Friendly,Marrakesh,Morocco,True,0,0,2,2,D_Both_Wrong,0.25,0.2572167933310863,0.27797867176790053,0.46480453490101326,0.2740114061075609,0.28426770080683494,0.44172089308560425,1411.4839128043432,1496.2282227105657,84.7443099062225,60.0,60.0,2.0,1.2,22.45988572469139,False,True,False,False,False,False,False,False,True
2024-03-22,Azerbaijan,Mongolia,1,0,FIFA Series,Baku,Azerbaijan,False,0,0,0,0,A_Both_Correct,0.25,0.9065638090201299,0.06805259038106475,0.02538360059880545,0.9079896459500085,0.06669000742621091,0.025320346623780625,1510.3190788535396,1125.427531755038,384.89154709850163,60.0,60.0,1.8,0.6,26.011199001994434,True,False,True,False,True,False,False,False,True
2024-03-22,Bulgaria,Tanzania,1,0,FIFA Series,Baku,Azerbaijan,True,0,0,0,0,A_Both_Correct,0.25,0.5458481552097271,0.22473476796172132,0.22941707682855159,0.5665993948699182,0.22641146473972126,0.20698914039036054,1529.875463273463,1455.4284887955066,74.44697447795647,60.0,58.0,0.4,0.4,23.53474723816359,False,True,False,False,True,False,False,False,True
2024-03-22,Egypt,New Zealand,1,0,FIFA Series,Cairo,Egypt,False,0,0,0,0,A_Both_Correct,0.25,0.6863527702179335,0.20831792532486973,0.10532930445719668,0.6435544181713988,0.22108596797309282,0.13535961385550843,1757.5816600873252,1629.616036047796,127.9656240395293,54.0,60.0,1.4,0.4,26.152318032034195,False,True,False,False,True,False,False,False,True
2024-03-22,Equatorial Guinea,Cambodia,2,0,FIFA Series,Jeddah,Saudi Arabia,True,0,0,0,0,A_Both_Correct,0.25,0.8880510312024603,0.08705892899816395,0.024890039799375784,0.8911327863083224,0.0831708613350126,0.02569635235666512,1505.8571313833381,1089.1778499704208,416.67928141291736,54.0,60.0,1.6,1.0,22.392632377459353,False,False,True,False,False,False,False,False,True
2024-03-22,Brunei,Bermuda,0,2,FIFA Series,Jeddah,Saudi Arabia,True,2,2,2,2,A_Both_Correct,0.25,0.02679377555825301,0.04443209885086533,0.9287741255908816,0.028166220779120243,0.049378515157271465,0.9224552640636083,905.3204033161466,1375.4384039465547,470.1180006304081,60.0,60.0,0.0,1.4,24.486257197987733,False,False,True,False,True,False,False,False,True
2024-03-22,Algeria,Bolivia,3,2,FIFA Series,Algiers,Algeria,False,0,0,0,0,A_Both_Correct,0.25,0.7405224068811116,0.17598054946161923,0.08349704365726916,0.6965840626076498,0.19479263720862372,0.10862330018372646,1815.4909822082873,1613.218230873774,202.27275133451326,59.0,60.0,1.6,0.6,23.662845915111173,True,False,False,False,True,False,False,False,True
2024-03-22,Sri Lanka,Papua New Guinea,0,0,FIFA Series,Colombo,Sri Lanka,False,1,1,2,2,D_Both_Wrong,0.25,0.08960882749847356,0.12189521953645795,0.7884959529650685,0.09208422915604006,0.13237110516350142,0.7755446656804585,988.5841959999036,1457.9822561562396,469.398060156336,60.0,60.0,0.2,1.4,13.76813244190318,False,False,True,False,True,False,True,False,True
