date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,r4_pred,category,champion_p_away,champion_p_draw,champion_p_home,r4_p_away,r4_p_draw,r4_p_home
2022-03-23,Malaysia,Philippines,2,0,Friendly,Kallang,Singapore,True,0,0,0,2,B_Regression_R4_Wrong,0.40962182385066126,0.2787420758524732,0.3116361002968656,0.35832734116605885,0.2659355888941251,0.37573706993981604
2022-03-24,Moldova,Kazakhstan,1,2,UEFA Nations League,Chișinău,Moldova,False,2,2,2,0,B_Regression_R4_Wrong,0.3267509564671065,0.2849042441804807,0.3883447993524129,0.3722674503004168,0.29466120113832533,0.33307134856125786
2022-03-26,Singapore,Malaysia,2,1,Friendly,Kallang,Singapore,False,0,0,0,2,B_Regression_R4_Wrong,0.3919364173062767,0.2854495385181791,0.3226140441755442,0.3497596343406691,0.26339350198655614,0.3868468636727749
2022-03-27,Guatemala,Haiti,2,1,Friendly,Fort Lauderdale,United States,True,0,0,0,2,B_Regression_R4_Wrong,0.37375131235318193,0.27635246523056356,0.3498962224162544,0.3188161198978665,0.30188809590191806,0.3792957842002154
2022-03-29,Finland,Slovakia,0,2,Friendly,Murcia,Spain,True,2,2,2,0,B_Regression_R4_Wrong,0.32919881769871917,0.32177865433438835,0.3490225279668926,0.34021664403081,0.33473979014595284,0.3250435658232371
2022-06-03,Turks and Caicos Islands,Bonaire,1,4,CONCACAF Nations League,Providenciales,Turks and Caicos Islands,False,2,2,2,0,B_Regression_R4_Wrong,0.2715274381296365,0.1795624121666439,0.5489101497037198,0.41569780373189497,0.2079261269900601,0.37637606927804507
2022-06-14,Mongolia,Yemen,2,0,AFC Asian Cup qualification,Ulaanbaatar,Mongolia,False,0,0,0,2,B_Regression_R4_Wrong,0.40938087008794666,0.242547133981248,0.3480719959308053,0.2682658295281781,0.22171377835230646,0.5100203921195154
2022-09-22,Liechtenstein,Andorra,0,2,UEFA Nations League,Vaduz,Liechtenstein,False,2,2,2,0,B_Regression_R4_Wrong,0.3433176220679833,0.26296289261280464,0.3937194853192122,0.414679094036651,0.2687005175003368,0.3166203884630121
2022-09-24,Bolivia,Senegal,0,2,Friendly,Orléans,France,True,2,2,2,0,B_Regression_R4_Wrong,0.22949859433529618,0.27520714380277744,0.4952942618619264,0.4158502867217273,0.2262044201218626,0.35794529315641016
2022-09-24,Indonesia,Curaçao,3,2,Friendly,Bandung,Indonesia,False,0,0,0,2,B_Regression_R4_Wrong,0.42552393694646395,0.2524226593734043,0.32205340368013186,0.273545413905879,0.256303592903802,0.47015099319031894
2022-09-25,New Zealand,Australia,0,2,Friendly,Auckland,New Zealand,False,2,2,2,1,B_Regression_R4_Wrong,0.3011974657139234,0.3443090489723057,0.35449348531377084,0.3131244479142788,0.34829006767914955,0.3385854844065716
2022-09-27,Indonesia,Curaçao,2,1,Friendly,Cibinong,Indonesia,False,0,0,0,2,B_Regression_R4_Wrong,0.45564798132523204,0.25215654743820515,0.2921954712365628,0.29485056986341657,0.252883637921731,0.4522657922148525
2022-11-07,Qatar,Panama,2,1,Friendly,Marbella,Spain,True,0,0,0,2,B_Regression_R4_Wrong,0.39849056957404694,0.3064052301937285,0.2951042002322245,0.3360798789301061,0.3102662783684544,0.3536538427014395
2022-11-19,Turkey,Czech Republic,2,1,Friendly,Gaziantep,Turkey,False,0,0,0,2,B_Regression_R4_Wrong,0.3808508876550199,0.2891094666557227,0.33003964568925737,0.3423208248185854,0.29974300506572743,0.35793617011568724
2022-11-29,Iran,United States,0,1,FIFA World Cup,Doha,Qatar,True,2,2,2,0,B_Regression_R4_Wrong,0.35081137150679326,0.276031215392176,0.3731574131010308,0.37046815397645655,0.2929182230518705,0.3366136229716728
